round,game,votes,player,club
24,BRI vs ESS,2,W. Ashcroft,BRI
24,BRI vs ESS,3,Z. Merrett,ESS
24,SYD vs ADE,1,C. Mills,SYD
24,SYD vs ADE,2,M. Roberts,SYD
24,SYD vs ADE,3,N. Blakey,SYD
24,WB vs GWS,1,E. Richards,WB
24,WB vs GWS,2,Tom Green,GWS
24,WB vs GWS,3,L. Whitfield,GWS
24,CAR vs STK,1,M. Phillipou,STK
24,CAR vs STK,2,S. Walsh,CAR
24,CAR vs STK,3,N. Newman,CAR
24,FRE vs PA,1,Z. Butters,PA
24,FRE vs PA,2,O. Wines,PA
24,FRE vs PA,3,A. Brayshaw,FRE
